ordinal	fork_commit	full_patch_id	touches_vendored_tree	vendored_patch_id	mirror_commit	subject
01	5ca6462248cc2d6b8a30b22d8de9e5dc0ae91791	4d7f3414577af84f295eea78b1a2f1d7d16de396	yes	4d7f3414577af84f295eea78b1a2f1d7d16de396	9ed923261d4cb9cd0002e57d3fe5a2af9b3fa662	Fix iOS dictation: real-time marked text rendering, correct cursor rects, and hypothesis updates
02	95846b8283ffe98bdef316609f67fd78f1774bc4	f44af83f1c3bd27258ec36333ff89f1fdeea8c5b	yes	c02df3e7cb899cefd1c21978998ef96df49c03f6	d29191fe7d23b10d66d7892cd7215e19b15c5909	Add session capture, terminal output API, and content observer
03	949af18178ead2dd779dddf13ce73f2e021f42e7	acccb9022bd33b460a9ed4c7136adc520756efb3	yes	5ac95ccac211a587bd1d118966a4a8bbdc39cf4d	0583150e62010f2acb039335b0737cfa87896dfe	Add structured events v2 ndjson format and deprecate legacy jsonEvents
04	ca6c11ce213a5031c3cb321a582464fd599356b7	0b229c4d146b9023600db671f8d6e54c247303cd	no	-	-	Update SwiftPM package resolution
05	d0ed6fc8fe427637134534b8714dd5b3208aa7ac	171e0c5b036b1b0d8c20889fe120edad36febcf9	no	-	-	Add app UI design with terminal screens, components, and splash
06	ec70082ad36e3caac5e93814ae2458df00a60c56	247b2f2b7afcc888c6c4aabb03e7ced780f9033e	no	-	-	Add .claude/ to gitignore
07	98c65f8f41b1aa2be1e731cb4c20d8e80926cd09	3049b0a03253776ed686bb33a3dbb56f92a4a3ed	no	-	-	Redesign iOS app UI: splash, instance list, terminal with custom key bar
08	b4f0953b353320f17c8e6a03c591dac48bbc2178	0592b5aacf105581d54483c6ac2444152b979f8d	no	-	-	Replace mock data with real API integration and workspace management
09	c2dc12f3135f156b9770bff5b8a4cc570ab39b0b	345489acd530e3844a4857d544c694643b52b28a	no	-	-	Add watchOS companion app design doc with user stories
10	f759c2ce567c94347c8638659e4f74bd38af736b	24de7c0a9890b0c5fc601b44de48736659c75c45	no	-	-	Add tmux history viewer via capture-pane and fix workspace CodingKeys
